North Atlantic Oscillation (NAO)	
196312	-1.92
196401	-0.95
196402	-1.43
196403	-1.2
196404	0.36
196405	0.52
196406	1.29
196407	1.9
196408	-1.77
196409	0.2
196410	0.74
196411	-0.01
196412	-0.15
196501	-0.12
196502	-1.55
196503	-1.51
196504	0.72
196505	-0.62
196506	0.29
196507	0.32
196508	0.45
196509	0.37
196510	0.38
196511	-1.66
196512	1.37
196601	-1.74
196602	-1.39
196603	0.56
196604	-0.75
196605	0.22
196606	1.05
196607	0.32
196608	-1.76
196609	-0.45
196610	-0.68
196611	-0.04
196612	0.72
196701	-0.89
196702	0.19
196703	1.51
196704	0.18
196705	-0.99
196706	1.4
196707	0.41
196708	1.44
196709	0.93
196710	0.07
196711	0.6
196712	-0.45
196801	0.13
196802	-1.29
196803	0.4
196804	-1.08
196805	-1.76
196806	0.33
196807	-0.8
196808	-0.66
196809	-1.92
196810	-2.3
196811	-0.93
196812	-1.4
196901	-0.83
196902	-1.55
196903	-1.56
196904	1.53
196905	0.55
196906	0.55
196907	0.57
196908	-1.45
196909	2.07
196910	0.66
196911	-0.96
196912	-0.28
197001	-1.5
197002	0.64
197003	-0.96
197004	-1.3
197005	1.14
197006	1.55
197007	0.1
197008	0.1
197009	-0.09
197010	-0.92
197011	-0.6
197012	-1.2
197101	-1.13
197102	0.24
197103	-0.84
197104	-0.24
197105	0.5
197106	-1.57
197107	0.24
197108	1.55
197109	0.39
197110	0.58
197111	-0.2
197112	0.6
197201	0.27
197202	0.32
197203	0.72
197204	-0.22
197205	0.95
197206	0.88
197207	0.18
197208	1.32
197209	-0.12
197210	1.09
197211	0.54
197212	0.19
197301	0.04
197302	0.85
197303	0.3
197304	-0.54
197305	-0.44
197306	0.39
197307	0.57
197308	-0.06
197309	-0.3
197310	-1.24
197311	-0.93
197312	0.32
197401	1.34
197402	-0.14
197403	-0.03
197404	0.51
197405	-0.24
197406	-0.14
197407	-0.76
197408	-0.64
197409	0.82
197410	0.49
197411	-0.54
197412	1.5
197501	0.58
197502	-0.62
197503	-0.61
197504	-1.6
197505	-0.52
197506	-0.84
197507	1.55
197508	-0.26
197509	1.56
197510	-0.54
197511	0.41
197512	0
197601	-0.25
197602	0.93
197603	0.75
197604	0.26
197605	0.96
197606	0.8
197607	-0.32
197608	1.92
197609	-1.29
197610	-0.08
197611	0.17
197612	-1.6
197701	-1.04
197702	-0.49
197703	-0.81
197704	0.65
197705	-0.86
197706	-0.57
197707	-0.45
197708	-0.28
197709	0.37
197710	0.52
197711	-0.07
197712	-1
197801	0.66
197802	-2.2
197803	0.7
197804	-1.17
197805	1.08
197806	1.38
197807	-1.14
197808	0.64
197809	0.46
197810	1.93
197811	3.04
197812	-1.57
197901	-1.38
197902	-0.67
197903	0.78
197904	-1.71
197905	-1.03
197906	1.6
197907	0.83
197908	0.96
197909	1.01
197910	-0.3
197911	0.53
197912	1
198001	-0.75
198002	0.05
198003	-0.31
198004	1.29
198005	-1.5
198006	-0.37
198007	-0.42
198008	-2.24
198009	0.66
198010	-1.77
198011	-0.37
198012	0.78
198101	0.37
198102	0.92
198103	-1.19
198104	0.36
198105	0.2
198106	-0.45
198107	0.05
198108	0.39
198109	-1.45
198110	-1.35
198111	-0.38
198112	-0.02
198201	-0.89
198202	1.15
198203	1.15
198204	0.1
198205	-0.53
198206	-1.63
198207	1.15
198208	0.26
198209	1.76
198210	-0.74
198211	1.6
198212	1.78
198301	1.59
198302	-0.53
198303	0.95
198304	-0.85
198305	-0.07
198306	0.99
198307	1.19
198308	1.61
198309	-1.12
198310	0.65
198311	-0.98
198312	0.29
198401	1.66
198402	0.72
198403	-0.37
198404	-0.28
198405	0.54
198406	-0.42
198407	-0.07
198408	1.15
198409	0.17
198410	-0.07
198411	-0.06
198412	0
198501	-1.61
198502	-0.49
198503	0.2
198504	0.32
198505	-0.49
198506	-0.8
198507	1.22
198508	-0.48
198509	-0.52
198510	0.9
198511	-0.67
198512	0.22
198601	1.11
198602	-1
198603	1.71
198604	-0.59
198605	0.85
198606	1.22
198607	0.12
198608	-1.09
198609	-1.12
198610	1.55
198611	2.29
198612	0.99
198701	-1.15
198702	-0.73
198703	0.14
198704	2
198705	0.98
198706	-1.82
198707	0.52
198708	-0.83
198709	-1.22
198710	0.14
198711	0.18
198712	0.32
198801	1.02
198802	0.76
198803	-0.17
198804	-1.17
198805	0.63
198806	0.88
198807	-0.35
198808	0.04
198809	-0.99
198810	-1.08
198811	-0.34
198812	0.61
198901	1.17
198902	2
198903	1.85
198904	0.28
198905	1.38
198906	-0.27
198907	0.97
198908	0.01
198909	2.05
198910	-0.03
198911	0.16
198912	-1.15
199001	1.04
199002	1.41
199003	1.46
199004	2
199005	-1.53
199006	-0.02
199007	0.53
199008	0.97
199009	1.06
199010	0.23
199011	-0.24
199012	0.22
199101	0.86
199102	1.04
199103	-0.2
199104	0.29
199105	0.08
199106	-0.82
199107	-0.49
199108	1.23
199109	0.48
199110	-0.19
199111	0.48
199112	0.46
199201	-0.13
199202	1.07
199203	0.87
199204	1.86
199205	2.63
199206	0.2
199207	0.16
199208	0.85
199209	-0.44
199210	-1.76
199211	1.19
199212	0.47
199301	1.6
199302	0.5
199303	0.67
199304	0.97
199305	-0.78
199306	-0.59
199307	-3.18
199308	0.12
199309	-0.57
199310	-0.71
199311	2.56
199312	1.56
199401	1.04
199402	0.46
199403	1.26
199404	1.14
199405	-0.57
199406	1.52
199407	1.31
199408	0.38
199409	-1.32
199410	-0.97
199411	0.64
199412	2.02
199501	0.93
199502	1.14
199503	1.25
199504	-0.85
199505	-1.49
199506	0.13
199507	-0.22
199508	0.69
199509	0.31
199510	0.19
199511	-1.38
199512	-1.67
199601	-0.12
199602	-0.07
199603	-0.24
199604	-0.17
199605	-1.06
199606	0.56
199607	0.67
199608	1.02
199609	-0.86
199610	-0.33
199611	-0.56
199612	-1.41
199701	-0.49
199702	1.7
199703	1.46
199704	-1.02
199705	-0.28
199706	-1.47
199707	0.34
199708	0.83
199709	0.61
199710	-1.7
199711	-0.9
199712	-0.96
199801	0.39
199802	-0.11
199803	0.87
199804	-0.68
199805	-1.32
199806	-2.72
199807	-0.48
199808	-0.02
199809	-2
199810	-0.29
199811	-0.28
199812	0.87
199901	0.77
199902	0.29
199903	0.23
199904	-0.95
199905	0.92
199906	1.12
199907	-0.9
199908	0.39
199909	0.36
199910	0.2
199911	0.65
199912	1.61
200001	0.6
200002	1.7
200003	0.77
200004	-0.03
200005	1.58
200006	-0.03
200007	-1.03
200008	-0.29
200009	-0.21
200010	0.92
200011	-0.92
200012	-0.58
200101	0.25
200102	0.45
200103	-1.26
200104	0
200105	-0.02
200106	-0.2
200107	-0.25
200108	-0.07
200109	-0.65
200110	-0.24
200111	0.63
200112	-0.83
200201	0.44
200202	1.1
200203	0.69
200204	1.18
200205	-0.22
200206	0.38
200207	0.62
200208	0.38
200209	-0.7
200210	-2.28
200211	-0.18
200212	-0.94
200301	0.16
200302	0.62
200303	0.32
200304	-0.18
200305	0.01
200306	-0.07
200307	0.13
200308	-0.07
200309	0.01
200310	-1.26
200311	0.86
200312	0.64
200401	-0.29
200402	-0.14
200403	1.02
200404	1.15
200405	0.19
200406	-0.89
200407	1.13
200408	-0.48
200409	0.38
200410	-1.1
200411	0.73
200412	1.21
200501	1.52
200502	-0.06
200503	-1.83
200504	-0.3
200505	-1.25
200506	-0.05
200507	-0.51
200508	0.37
200509	0.63
200510	-0.98
200511	-0.31
200512	-0.44
200601	1.2651
200602	-0.5106
200603	-1.2779
200604	1.2353
200605	-1.1444
200606	0.8412
200607	0.9024
200608	-1.7264
200609	-1.6219
200610	-2.2439
200611	0.4368
200612	1.3366
200701	0.2227
200702	-0.47
200703	1.4425
200704	0.1694
200705	0.6638
200706	-1.3064
200707	-0.5794
200708	-0.139
200709	0.7213
200710	0.4465
200711	0.5756
200712	0.3436
200801	0.8901
200802	0.7346
200803	0.0761
200804	-1.0655
200805	-1.728
200806	-1.3895
200807	-1.2741
200808	-1.1602
200809	1.0169
200810	-0.0434
200811	-0.3199
200812	-0.2765
200901	-0.0075
200902	0.0565
200903	0.5723
200904	-0.2044
200905	1.6827
200906	-1.2074
200907	-2.1529
200908	-0.1938
200909	1.5089
200910	-1.0322
200911	-0.0248
200912	-1.9257
201001	-1.1086
201002	-1.9845
201003	-0.8831
201004	-0.7199
201005	-1.487
201006	-0.816
201007	-0.425
201008	-1.2227
201009	-0.7948
201010	-0.9283
201011	-1.6158
201012	-1.8472
201101	-0.8768
201102	0.7012
201103	0.6129
201104	2.4775
201105	-0.0623
201106	-1.2795
201107	-1.5122
201108	-1.3475
201109	0.536
201110	0.3935
201111	1.3602
201112	2.5213
201201	1.1739
201202	0.4201
201203	1.2655
201204	0.471
201205	-0.9068
201206	-2.5309
201207	-1.3215
201208	-0.9832
201209	-0.5861
201210	-2.062
201211	-0.5782
201212	0.1706
201301	0.3453
201302	-0.4531
201303	-1.6119
201304	0.687
201305	0.5691
201306	0.5208
201307	0.6722
201308	0.9702
201309	0.2406
201310	-1.2801
201311	0.9008
201312	0.9457
201401	0.2903
201402	1.3352
201403	0.7983
201404	0.3052
201405	-0.9225
201406	-0.9701
201407	0.1754
201408	-1.6815
201409	1.6163
201410	-1.2706
201411	0.678
201412	1.8575
201501	1.7887
201502	1.3228
201503	1.4497
201504	0.7253
201505	0.1455
201506	-0.0668
201507	-3.179
201508	-0.7604
201509	-0.6485
201510	0.4372
201511	1.7438
201512	2.2436
201601	0.1165
201602	1.5803
201603	0.7344
201604	0.3751
201605	-0.7736
201606	-0.4325
201607	-1.7603
201608	-1.6453
201609	0.611
201610	0.4113
201611	-0.1637
201612	0.4783
201701	0.4782
201702	1.0048
201703	0.737
201704	1.7325
201705	-1.911
201706	0.045
201707	1.2556
201708	-1.0977
201709	-0.6127
201710	0.1859
201711	-0.0049
201712	0.8816
201801	1.4423
201802	1.5778
201803	-0.9269
201804	1.2411
201805	2.1208
201806	1.088
201807	1.3893
201808	1.967
201809	1.6736
201810	0.9345
201811	-0.1113
201812	0.6116
201901	0.592
201902	0.2914
201903	1.2321
201904	0.466
201905	-2.623
201906	-1.0886
201907	-1.4255
201908	-1.1684
201909	-0.1641
201910	-1.4134
201911	0.2785
201912	1.2016
202001	1.3432
202002	1.257
202003	1.0126
202004	-1.0224
202005	-0.4098
202006	-0.1469
202007	-1.2262
202008	0.1217
202009	0.985
202010	-0.6547
202011	2.5445
202012	-0.3024
202101	-1.1087
202102	0.1361
202103	0.7299
202104	-1.4251
202105	-1.2386
202106	0.7655
202107	0.026
202108	-0.2825
202109	-0.2137
202110	-2.2899
202111	-0.1846
202112	0.2885
202201	1.0778
202202	1.683
202203	0.7677
202204	-0.3646
202205	0.7062
202206	-0.118
202207	-0.0936
202208	1.4699
202209	-1.6105
202210	-0.7175
202211	0.6922
202212	-0.1456
202301	1.2503
202302	0.9227
202303	-1.1088
202304	-0.6284
202305	0.3864
202306	-0.5784
202307	-2.1746
202308	-1.164
202309	-0.4408
202310	-2.0292
202311	-0.3194
202312	1.9365
202401	0.206
202402	1.0894
202403	-0.2141
202404	-0.7802
202405	-0.443
202406	-0.0865
202407	1.4555
202408	0.6325
